[2022-04-28 02:04:04][HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h26s492ms269µs).
[2022-04-28 08:27:24][HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6h23m24s563ms437µs700ns).
[2022-04-28 08:41:12][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Starting BlogServerApplication using Java 17.0.2 on lonestar with PID 15140 (D:\wjl\workspace\repository\lblog\blog-server\build\classes\java\main started by wjl15 in D:\wjl\workspace\repository\lblog\blog-server)
[2022-04-28 08:41:12][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - No active profile set, falling back to 1 default profile: "default"
[2022-04-28 08:41:14][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
[2022-04-28 08:41:14][restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[2022-04-28 08:41:14][restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
[2022-04-28 08:41:14][restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-04-28 08:41:16][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2022-04-28 08:41:16][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2022-04-28 08:41:16][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
[2022-04-28 08:41:16][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Started BlogServerApplication in 4.196 seconds (JVM running for 4.992)
[2022-04-28 08:41:17][RMI TCP Connection(1)-172.22.0.1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-04-28 08:42:36][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2022-04-28 08:42:36][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2022-04-28 08:45:10][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Starting BlogServerApplication using Java 17.0.2 on lonestar with PID 14908 (D:\wjl\workspace\repository\lblog\blog-server\build\classes\java\main started by wjl15 in D:\wjl\workspace\repository\lblog\blog-server)
[2022-04-28 08:45:10][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - No active profile set, falling back to 1 default profile: "default"
[2022-04-28 08:45:12][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
[2022-04-28 08:45:12][restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[2022-04-28 08:45:12][restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
[2022-04-28 08:45:12][restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-04-28 08:45:13][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2022-04-28 08:45:13][restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2022-04-28 08:45:14][restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
[2022-04-28 08:45:14][restartedMain] INFO  com.wjl.lblog.BlogServerApplication - Started BlogServerApplication in 3.703 seconds (JVM running for 4.57)
[2022-04-28 08:45:14][RMI TCP Connection(2)-172.22.0.1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-04-28 08:46:58][http-nio-8088-exec-1] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/all/summary]
[2022-04-28 08:46:58][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- start --- 2022-04-28T08:46:58.765+0800
[2022-04-28 08:46:58][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [getAllSummary()] --- finish --- 2022-04-28T08:46:58.819+0800, cost 0.054 s
[2022-04-28 08:47:14][http-nio-8088-exec-5] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 08:47:14][http-nio-8088-exec-5] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T08:47:14.432+0800
[2022-04-28 08:47:14][http-nio-8088-exec-5] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T08:47:14.471+0800, cost 0.039 s
[2022-04-28 08:55:37][http-nio-8088-exec-4] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 08:55:37][http-nio-8088-exec-4] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T08:55:37.034+0800
[2022-04-28 08:55:37][http-nio-8088-exec-4] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T08:55:37.040+0800, cost 0.006 s
[2022-04-28 08:56:45][http-nio-8088-exec-2] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 08:56:45][http-nio-8088-exec-2] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T08:56:45.003+0800
[2022-04-28 08:56:45][http-nio-8088-exec-2] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T08:56:45.012+0800, cost 0.009 s
[2022-04-28 08:57:51][http-nio-8088-exec-8] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 08:57:51][http-nio-8088-exec-8] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T08:57:51.680+0800
[2022-04-28 08:57:51][http-nio-8088-exec-8] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T08:57:51.686+0800, cost 0.006 s
[2022-04-28 08:57:55][http-nio-8088-exec-3] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 08:57:55][http-nio-8088-exec-3] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T08:57:55.098+0800
[2022-04-28 08:57:55][http-nio-8088-exec-3] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T08:57:55.105+0800, cost 0.007 s
[2022-04-28 09:00:10][http-nio-8088-exec-1] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:00:10][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:00:10.645+0800
[2022-04-28 09:00:10][http-nio-8088-exec-1] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:00:10.651+0800, cost 0.006 s
[2022-04-28 09:03:07][http-nio-8088-exec-9] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:03:07][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:03:07.193+0800
[2022-04-28 09:03:07][http-nio-8088-exec-9] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:03:07.200+0800, cost 0.007 s
[2022-04-28 09:05:59][http-nio-8088-exec-6] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:05:59][http-nio-8088-exec-6] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:05:59.913+0800
[2022-04-28 09:05:59][http-nio-8088-exec-6] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:05:59.924+0800, cost 0.011 s
[2022-04-28 09:06:25][http-nio-8088-exec-2] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:06:25][http-nio-8088-exec-2] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:06:25.848+0800
[2022-04-28 09:06:25][http-nio-8088-exec-2] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- finish --- 2022-04-28T09:06:25.854+0800, cost 0.006 s
[2022-04-28 09:06:30][http-nio-8088-exec-7] INFO  com.wjl.lblog.interceptor.RequestInterceptor - [127.0.0.1][GET][/article/page/summary]
[2022-04-28 09:06:30][http-nio-8088-exec-7] INFO  com.wjl.lblog.annotation.TimeLogger - [findAllByPage()] --- start --- 2022-04-28T09:06:30.172+0800
